country_name,country_code,regime_category_index,spatial_democracy,parliament_chambers,lower_house_members,spatial_electoral,electoral_category_index,is_monarchy,is_democracy,is_presidential,is_colony,is_communist,has_proportional_voting,has_full_suffrage,is_multiparty,has_free_and_fair_election,has_alternation,has_new_constitution
Afghanistan,AFG,3.0,0.25,2.0,249.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Albania,ALB,0.0,0.8,1.0,140.0,2.8,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Algeria,DZA,3.0,0.5,2.0,462.0,2.5,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Angola,AGO,3.0,0.25,1.0,220.0,2.25,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Antigua and Barbuda,ATG,0.0,1.0,2.0,19.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Argentina,ARG,2.0,0.8,2.0,257.0,2.8,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Armenia,ARM,1.0,0.25,1.0,131.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Australia,AUS,0.0,1.0,2.0,150.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Austria,AUT,1.0,0.8571428571428571,2.0,183.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Azerbaijan,AZE,3.0,0.5,1.0,125.0,2.25,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Bahrain,BHR,5.0,0.0,2.0,40.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Bangladesh,BGD,3.0,0.5,1.0,330.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Barbados,BRB,0.0,1.0,2.0,30.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Belarus,BLR,3.0,0.8,2.0,110.0,2.8,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Belgium,BEL,0.0,1.0,2.0,150.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Belize,BLZ,0.0,0.6666666666666666,2.0,31.0,2.6666666666666665,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
