"gsis_id","headshot"
"00-0028830","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hwncbbaztu3pc5unqgnj"
"00-0038389","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uegr8w0frbrrqmlalg48"
"00-0024644","https://static.www.nfl.com/image/private/f_auto,q_auto/league/gi1ncvxcsz8vyi5a4fxp"
"ABB498348","https://static.www.nfl.com/image/private/f_auto,q_auto/league/g1xvyvzrfbrtbeqjvqgf"
"00-0031021","https://static.www.nfl.com/image/private/f_auto,q_auto/league/p5gqmcyci9youm2r6oeb"
"00-0032860","https://static.www.nfl.com/image/private/f_auto,q_auto/league/tzefn7gt3kbzufpa1jxb"
"00-0028564","https://static.www.nfl.com/image/private/f_auto,q_auto/league/wbmpf9gwwtipcoyrmpr4"
"00-0032104","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jvkgnlj5fn16mnmdyr4i"
"00-0023663","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jucikqcrbovbzuqeee1f"
"00-0025940","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jemlffvblcblzmqrozm5"
"00-0021957","https://static.www.nfl.com/image/private/f_auto,q_auto/league/vaa42guq07hfx3ptuejr"
"00-0000007","https://static.www.nfl.com/image/private/f_auto,q_auto/league/t5s9srq092solu73m9v5"
"00-0000008","https://static.www.nfl.com/image/private/f_auto,q_auto/league/cybn2rgg19bvq5gnmqlz"
"00-0038580","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcqrvdytgfa12io99n2w"
"ABE498348","https://static.www.nfl.com/image/private/f_auto,q_auto/league/pydzhyktsi8fx5mxiybr"
"00-0035098","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vp6ezokvuuzydfr3v8ae"
"00-0023322","https://static.www.nfl.com/image/private/f_auto,q_auto/league/icthexwchfliydis3l6u"
"00-0025444","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ngsgxzz45uknhixpfbq7"
"00-0022830","https://static.www.nfl.com/image/private/f_auto,q_auto/league/rmxcmhiehkgevchfvxy1"
"00-0030083","https://static.www.nfl.com/image/private/f_auto,q_auto/league/qayiwzp2hlziik6pueim"
"00-0000016","https://static.www.nfl.com/image/private/f_auto,q_auto/league/doc4f7yv4qjklkurq1hh"
"00-0019546","https://static.www.nfl.com/image/private/f_auto,q_auto/league/xy04q7bt6hiatezp83t6"
"00-0039403","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s75ks5bbqajwu6vye8ps"
"00-0000017","https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfyq9ztqmw3snrsqogv5"
"ABR083058","https://static.www.nfl.com/image/private/f_auto,q_auto/league/f4vaohzliud8xj2ymxch"
"00-0035693","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d2zdaol75a3i4s2sdb4r"
"ABR166116","https://static.www.nfl.com/image/private/f_auto,q_auto/league/njn7ibtbvpkrkvwwclhe"
"ABR249174","https://static.www.nfl.com/image/private/f_auto,q_auto/league/nmlfrhy6vggpm6msftwy"
"00-0035774","https://static.www.nfl.com/image/private/f_auto,q_auto/league/l1cvw8cwhbo5g3ff1gpo"
"ABR390978","https://static.www.nfl.com/image/private/f_auto,q_auto/league/vdn0o0yq4tjtxw4thc9a"
"00-0000025","https://static.www.nfl.com/image/private/f_auto,q_auto/league/nybaeprxjxlemhqfygxd"
"ABR426540","https://static.www.nfl.com/image/private/f_auto,q_auto/league/u6b3sgtggosrhxfnontb"
"00-0039371","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q96h765zxponbrs6cnon"
"00-0039040","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu"
"ACH207645","https://static.www.nfl.com/image/private/f_auto,q_auto/league/pyastgsvophdeco3qxac"
"ACH415290","https://static.www.nfl.com/image/private/f_auto,q_auto/league/fyxmhnsdwlhpqbzt47qh"
"00-0029428","https://static.www.nfl.com/image/private/f_auto,q_auto/league/mtwv8tun8igvcsd6ljzb"
"00-0028041","https://static.www.nfl.com/image/private/f_auto,q_auto/league/sqoygt7fpqcakogjwk92"
"00-0022520","https://static.www.nfl.com/image/private/f_auto,q_auto/league/yiamse13eq36lxwpjjuv"
"00-0031186","https://static.www.nfl.com/image/private/f_auto,q_auto/league/xco7k2vow8effgzzuebb"
"ACK207645","https://static.www.nfl.com/image/private/f_auto,q_auto/league/zr12jdbdoerycf8ojopn"
"ACK415290","https://static.www.nfl.com/image/private/f_auto,q_auto/league/dikh49cadskd6n3jgztf"
"00-0000032","https://static.www.nfl.com/image/private/f_auto,q_auto/league/s7tpjn4fly0ulwp8mx5l"
"ACK622935","https://static.www.nfl.com/image/private/f_auto,q_auto/league/y7qopudedhg5rm3nq3kn"
