Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1,Puka Nacua,24,LAR,WR,16,15,166,129,1715,13.3,10,80,70.5,58,8.1,107.2,77.7,10.3,1,"PB,AP-1"
2,Trey McBride,26,ARI,TE,17,17,169,126,1239,9.8,11,63,61.5,31,7.4,72.9,74.6,7.3,0,"PB,AP-1"
3,Ja'Marr Chase,25,CIN,WR,16,16,185,125,1412,11.3,8,73,55.7,64,7.8,88.3,67.6,7.6,1,"PB,AP-1"
4,Jaxon Smith-Njigba,23,SEA,WR,17,17,163,119,1793,15.1,10,79,61.3,63,7,105.5,73,11,3,"PB,AP-1"
5,Amon-Ra St. Brown,26,DET,WR,17,17,172,117,1401,12,11,71,55.2,52,6.9,82.4,68,8.1,1,"PB,AP-2"
6,Christian McCaffrey,29,SFO,RB,17,17,129,102,924,9.1,7,48,57.4,39,6,54.4,79.1,7.2,2,"PB,AP-1"
7,Chris Olave,25,NOR,WR,16,16,156,100,1163,11.6,9,53,49.4,62,6.3,72.7,64.1,7.5,0,AP-2
8,George Pickens,24,DAL,WR,17,15,137,93,1429,15.4,9,73,65,45,5.5,84.1,67.9,10.4,4,"PB,AP-2"
9,Wan'Dale Robinson,24,NYG,WR,16,15,140,92,1014,11,4,39,42.9,50,5.8,63.4,65.7,7.2,1,
10,Kyle Pitts,25,ATL,TE,17,17,118,88,928,10.5,5,51,55.1,36,5.2,54.6,74.6,7.9,0,AP-2
11,Zay Flowers,25,BAL,WR,17,17,118,86,1211,14.1,5,48,59.3,64,5.1,71.2,72.9,10.3,3,PB
12,Stefon Diggs,32,NWE,WR,17,17,102,85,1013,11.9,4,51,68.6,34,5,59.6,83.3,9.9,0,
13,Justin Jefferson,26,MIN,WR,17,17,141,84,1048,12.5,2,47,46.1,50,4.9,61.6,59.6,7.4,0,
14,Jake Ferguson,26,DAL,TE,17,10,102,82,600,7.3,8,30,51,26,4.8,35.3,80.4,5.9,3,PB
15,Dalton Schultz,29,HOU,TE,17,6,106,82,777,9.5,3,39,60.4,47,4.8,45.7,77.4,7.3,1,
16,Keenan Allen,33,LAC,WR,17,3,122,81,777,9.6,4,49,54.9,31,4.8,45.7,66.4,6.4,2,
17,Michael Pittman Jr.,28,IND,WR,17,16,111,80,784,9.8,7,47,57.7,27,4.7,46.1,72.1,7.1,0,
18,Bijan Robinson,23,ATL,RB,17,17,103,79,820,10.4,4,34,56.3,69,4.6,48.2,76.7,8,4,"PB,AP-1"
19,A.J. Brown,28,PHI,WR,15,15,121,78,1003,12.9,7,47,52.1,45,5.2,66.9,64.5,8.3,0,
20,Michael Wilson,25,ARI,WR,17,13,126,78,1006,12.9,7,51,53.2,50,4.6,59.2,61.9,8,0,
21,Jahmyr Gibbs,23,DET,RB,17,17,94,77,616,8,5,28,50,42,4.5,36.2,81.9,6.6,2,PB
22,Juwan Johnson,29,NOR,TE,17,10,102,77,889,11.5,3,41,59.8,52,4.5,52.3,75.5,8.7,2,
23,DeVonta Smith,27,PHI,WR,17,16,113,77,1008,13.1,4,44,51.3,79,4.5,59.3,68.1,8.9,0,
24,Travis Kelce,36,KAN,TE,17,17,108,76,851,11.2,5,46,61.1,44,4.5,50.1,70.4,7.9,1,PB
25,Tyler Warren,23,IND,TE,17,12,112,76,817,10.8,4,42,51.8,41,4.5,48.1,67.9,7.3,1,PB
26,CeeDee Lamb,26,DAL,WR,14,13,117,75,1077,14.4,3,43,51.3,74,5.4,76.9,64.1,9.2,0,PB
27,Jakobi Meyers,29,2TM,WR,16,13,110,75,835,11.1,3,43,58.2,50,4.7,52.2,68.2,7.6,1,
28,Jakobi Meyers,29,LVR,WR,7,6,49,33,352,10.7,0,15,59.2,45,4.7,50.3,67.3,7.2,0,
29,Jakobi Meyers,29,JAX,WR,9,7,61,42,483,11.5,3,28,57.4,50,4.7,53.7,68.9,7.9,1,
30,Courtland Sutton,30,DEN,WR,17,16,124,74,1017,13.7,7,52,54,52,4.4,59.8,59.7,8.2,0,PB
31,Kenneth Gainwell,26,PIT,RB,17,2,85,73,486,6.7,3,23,40,45,4.3,28.6,85.9,5.7,2,
32,Harold Fannin,21,CLE,TE,16,13,107,72,731,10.2,6,32,41.1,35,4.5,45.7,67.3,6.8,1,
33,Deebo Samuel,29,WAS,WR,16,12,99,72,727,10.1,5,32,53.5,41,4.5,45.4,72.7,7.3,3,
34,Khalil Shakir,25,BUF,WR,16,10,95,72,719,10,4,28,45.3,54,4.5,44.9,75.8,7.6,1,
35,Nico Collins,26,HOU,WR,15,15,120,71,1117,15.7,6,48,49.2,57,4.7,74.5,59.2,9.3,1,PB
36,Tetairoa McMillan,22,CAR,WR,17,17,122,70,1014,14.5,7,55,51.6,43,4.1,59.6,57.4,8.3,1,
37,Chase Brown,25,CIN,RB,17,17,88,69,437,6.3,5,18,44.3,23,4.1,25.7,78.4,5,2,
38,Drake London,24,ATL,WR,12,12,112,68,919,13.5,7,46,56.3,43,5.7,76.6,60.7,8.2,1,
39,De'Von Achane,24,MIA,RB,16,16,85,67,488,7.3,4,23,43.5,29,4.2,30.5,78.8,5.7,1,PB
40,Ladd McConkey,24,LAC,WR,16,12,106,66,789,12,6,35,50,58,4.1,49.3,62.3,7.4,0,
41,Troy Franklin,22,DEN,WR,17,7,104,65,709,10.9,6,32,48.1,48,3.8,41.7,62.5,6.8,1,
42,Jameson Williams,24,DET,WR,17,15,102,65,1117,17.2,7,49,53.9,64,3.8,65.7,63.7,11,0,
43,Brock Bowers,23,LVR,TE,12,8,86,64,680,10.6,7,36,60.5,38,5.3,56.7,74.4,7.9,0,PB
44,Jaylen Waddle,27,MIA,WR,16,16,100,64,910,14.2,6,48,58,46,4,56.9,64,9.1,1,
45,Emeka Egbuka,23,TAM,WR,17,13,127,63,938,14.9,6,34,40.9,77,3.7,55.2,49.6,7.4,0,
46,Davante Adams,33,LAR,WR,14,14,114,60,789,13.2,14,51,52.6,44,4.3,56.4,52.6,6.9,0,
47,Dallas Goedert,30,PHI,TE,15,15,82,60,591,9.9,11,34,59.8,36,4,39.4,73.2,7.2,0,
48,Hunter Henry,31,NWE,TE,17,17,87,60,768,12.8,7,42,59.8,36,3.5,45.2,69,8.8,0,
49,Tee Higgins,26,CIN,WR,15,14,98,59,846,14.3,11,41,55.1,44,3.9,56.4,60.2,8.6,0,PB
50,D.K. Metcalf,28,PIT,WR,15,15,99,59,850,14.4,6,37,52.5,80,3.9,56.7,59.6,8.6,0,
51,Cade Otton,26,TAM,TE,16,16,81,59,572,9.7,1,25,51.9,27,3.7,35.8,72.8,7.1,0,
52,Rashid Shaheed,27,2TM,WR,18,13,92,59,687,11.6,2,29,45.7,87,3.3,38.2,64.1,7.5,2,PB
53,Rashid Shaheed,27,NOR,WR,9,9,66,44,499,11.3,2,22,43.9,87,4.9,55.4,66.7,7.6,1,
54,Rashid Shaheed,27,SEA,WR,9,4,26,15,188,12.5,0,7,50,33,1.7,20.9,57.7,7.2,1,
55,Josh Downs,24,IND,WR,16,11,88,58,566,9.8,4,36,50,34,3.6,35.4,65.9,6.4,1,
56,Colston Loveland,21,CHI,TE,16,11,82,58,713,12.3,6,36,56.1,58,3.6,44.6,70.7,8.7,0,
57,Parker Washington,23,JAX,WR,16,7,95,58,847,14.6,5,37,53.7,63,3.6,52.9,61.1,8.9,2,
58,George Kittle,32,SFO,TE,11,11,69,57,628,11,7,38,68.1,33,5.2,57.1,82.6,9.1,0,PB
59,Tre Tucker,24,LVR,WR,17,17,92,57,696,12.2,5,32,46.7,61,3.4,40.9,62,7.6,0,
60,Chigoziem Okonkwo,26,TEN,TE,17,12,79,56,560,10,2,24,45.6,43,3.3,32.9,70.9,7.1,0,
61,Romeo Doubs,25,GNB,WR,16,15,85,55,724,13.2,6,41,58.8,48,3.4,45.3,64.7,8.5,1,
62,Ashton Jeanty,22,LVR,RB,17,17,73,55,346,6.3,5,13,45.2,60,3.2,20.4,75.3,4.7,2,
63,Jauan Jennings,28,SFO,WR,15,15,90,55,643,11.7,9,36,54.4,42,3.7,42.9,61.1,7.1,1,
64,Rashee Rice,25,KAN,WR,8,8,78,53,571,10.8,5,28,53.8,47,6.6,71.4,67.9,7.3,2,
65,AJ Barner,23,SEA,TE,17,17,68,52,519,10,6,26,63.2,61,3.1,30.5,76.5,7.6,2,
66,T.J. Hockenson,28,MIN,TE,15,15,66,51,438,8.6,3,22,48.5,29,3.4,29.2,77.3,6.6,0,
67,Quentin Johnston,24,LAC,WR,14,10,84,51,735,14.4,8,27,46.4,60,3.6,52.5,60.7,8.8,1,
68,Evan Engram,31,DEN,TE,16,2,76,50,461,9.2,1,19,43.4,41,3.1,28.8,65.8,6.1,0,
69,Zach Ertz,35,WAS,TE,13,13,72,50,504,10.1,4,25,51.4,30,3.8,38.8,69.4,7,1,
70,Jerry Jeudy,26,CLE,WR,17,16,106,50,602,12,2,31,36.8,60,2.9,35.4,47.2,5.7,1,
71,D.J. Moore,28,CHI,WR,17,17,85,50,682,13.6,6,32,47.1,46,2.9,40.1,58.8,8,1,
72,Marquise Brown,28,KAN,WR,16,6,74,49,587,12,5,29,54.1,51,3.1,36.7,66.2,7.9,1,
73,Oronde Gadsden II,22,LAC,TE,15,7,69,49,664,13.6,3,28,66.7,53,3.3,44.3,71,9.6,1,
74,Mark Andrews,30,BAL,TE,17,11,70,48,422,8.8,5,24,52.9,27,2.8,24.8,68.6,6,1,
75,Chimere Dike,24,TEN,WR,17,10,74,48,423,8.8,4,20,43.2,38,2.8,24.9,64.9,5.7,2,"PB,AP-1"
76,Brian Thomas,23,JAX,WR,14,14,91,48,707,14.7,2,33,47.3,46,3.4,50.5,52.7,7.8,0,
77,Luther Burden,22,CHI,WR,15,5,60,47,652,13.9,2,27,60,65,3.1,43.5,78.3,10.9,0,
78,RJ Harvey,24,DEN,RB,17,7,58,47,356,7.6,5,18,50,32,2.8,20.9,81,6.1,1,
79,Cooper Kupp,32,SEA,WR,16,15,70,47,593,12.6,2,26,58.6,67,2.9,37.1,67.1,8.5,1,
80,Alec Pierce,25,IND,WR,15,14,84,47,1003,21.3,6,41,54.8,66,3.1,66.9,56,11.9,0,
81,Mack Hollins,32,NWE,WR,15,13,65,46,550,12,2,28,66.2,54,3.1,36.7,70.8,8.5,1,
82,Brenton Strange,25,JAX,TE,12,12,60,46,540,11.7,3,28,65,30,3.8,45,76.7,9,0,
83,Jonathan Taylor,26,IND,RB,17,17,55,46,378,8.2,2,15,54.5,43,2.7,22.2,83.6,6.9,2,PB
84,Malik Washington,24,MIA,WR,17,6,65,46,317,6.9,3,16,38.5,28,2.7,18.6,70.8,4.9,1,
85,Theo Johnson,24,NYG,TE,15,15,74,45,528,11.7,5,25,40.5,42,3,35.2,60.8,7.1,0,
86,Tyjae Spears,24,TEN,RB,13,1,50,45,264,5.9,0,10,38,34,3.5,20.3,90,5.3,0,
87,Gunnar Helm,23,TEN,TE,16,10,55,44,357,8.1,2,17,54.5,34,2.8,22.3,80,6.5,0,
88,Rome Odunze,23,CHI,WR,12,12,90,44,661,15,6,37,45.6,37,3.7,55.1,48.9,7.3,0,
89,Mason Taylor,21,NYJ,TE,13,11,65,44,369,8.4,1,23,52.3,27,3.4,28.4,67.7,5.7,0,
90,Colby Parkinson,26,LAR,TE,15,10,56,43,408,9.5,8,24,64.3,26,2.9,27.2,76.8,7.3,1,
91,Jordan Addison,23,MIN,WR,14,12,79,42,610,14.5,3,26,48.1,81,3,43.6,53.2,7.7,0,
92,Xavier Worthy,22,KAN,WR,14,13,73,42,532,12.7,1,22,49.3,42,3,38,57.5,7.3,0,
93,Elic Ayomanor,22,TEN,WR,16,14,89,41,515,12.6,4,30,40.4,39,2.6,32.2,46.1,5.8,0,
94,Pat Freiermuth,27,PIT,TE,17,8,54,41,486,11.9,4,21,53.7,68,2.4,28.6,75.9,9,0,
95,Marvin Harrison Jr.,23,ARI,WR,12,10,73,41,608,14.8,4,30,52.1,45,3.4,50.7,56.2,8.3,0,
96,Jayden Higgins,23,HOU,WR,17,10,68,41,525,12.8,6,28,50,75,2.4,30.9,60.3,7.7,0,
97,Ryan Flournoy,26,DAL,WR,16,4,56,40,475,11.9,4,29,58.9,46,2.5,29.7,71.4,8.5,0,
98,Sam LaPorta,24,DET,TE,9,9,49,40,489,12.2,3,23,69.4,40,4.4,54.3,81.6,10,0,
99,Jaylen Warren,27,PIT,RB,16,15,45,40,333,8.3,2,13,55.6,65,2.5,20.8,88.9,7.4,1,
100,Rachaad White,26,TAM,RB,17,8,45,40,218,5.5,0,10,40,18,2.4,12.8,88.9,4.8,0,
101,Rico Dowdle,27,CAR,RB,17,11,50,39,297,7.6,1,14,46,36,2.3,17.5,78,5.9,2,
102,Dalton Kincaid,26,BUF,TE,12,4,49,39,571,14.6,5,27,67.3,47,3.3,47.6,79.6,11.7,1,PB
103,Sterling Shepard,32,TAM,WR,13,2,53,39,371,9.5,1,18,45.3,36,3,28.5,73.6,7,1,
104,Olamide Zaccheaus,28,CHI,WR,16,5,65,39,313,8,2,15,43.1,27,2.4,19.6,60,4.8,0,
105,Keon Coleman,22,BUF,WR,13,6,59,38,404,10.6,4,26,61,37,2.9,31.1,64.4,6.8,1,
106,Terry McLaurin,30,WAS,WR,10,10,60,38,582,15.3,3,33,61.7,56,3.8,58.2,63.3,9.7,0,
107,Jonnu Smith,30,PIT,TE,17,7,54,38,222,5.8,2,10,44.4,21,2.2,13.1,70.4,4.1,1,
108,Saquon Barkley,28,PHI,RB,16,16,50,37,273,7.4,2,11,36,47,2.3,17.1,74,5.5,1,
109,Kendrick Bourne,30,SFO,WR,16,8,53,37,551,14.9,0,27,64.2,56,2.3,34.4,69.8,10.4,0,
110,Marvin Mims,23,DEN,WR,15,4,51,37,322,8.7,1,14,43.1,31,2.5,21.5,72.5,6.3,2,
111,Darius Slayton,28,NYG,WR,14,12,63,37,538,14.5,1,23,54,52,2.6,38.4,58.7,8.5,1,
112,Travis Etienne,26,JAX,RB,17,16,52,36,292,8.1,6,14,48.1,45,2.1,17.2,69.2,5.6,1,
113,Breece Hall,24,NYJ,RB,16,16,48,36,350,9.7,1,13,54.2,42,2.3,21.9,75,7.3,2,
114,Josh Jacobs,27,GNB,RB,15,15,44,36,282,7.8,1,8,52.3,31,2.4,18.8,81.8,6.4,3,
115,Dawson Knox,29,BUF,TE,17,12,49,36,417,11.6,4,23,61.2,32,2.1,24.5,73.5,8.5,0,
116,Ricky Pearsall,25,SFO,WR,9,9,53,36,528,14.7,0,28,60.4,45,4,58.7,67.9,10,0,
117,Tyrone Tracy Jr.,26,NYG,RB,15,11,48,36,288,8,2,14,47.9,42,2.4,19.2,75,6,1,
118,Kyren Williams,25,LAR,RB,17,17,50,36,281,7.8,3,12,52,30,2.1,16.5,72,5.6,2,
119,Garrett Wilson,25,NYJ,WR,7,7,59,36,395,11,4,18,45.8,33,5.1,56.4,61,6.7,1,
120,TreVeyon Henderson,23,NWE,RB,17,4,42,35,221,6.3,1,7,47.6,19,2.1,13,83.3,5.3,1,
121,Xavier Hutchinson,25,HOU,WR,17,6,57,35,428,12.2,3,19,49.1,33,2.1,25.2,61.4,7.5,0,
122,Xavier Legette,24,CAR,WR,15,12,64,35,363,10.4,3,18,39.1,36,2.3,24.2,54.7,5.7,1,
123,Michael Mayer,24,LVR,TE,13,12,50,35,328,9.4,1,18,46,23,2.7,25.2,70,6.6,1,
124,Christian Watson,26,GNB,WR,10,10,55,35,611,17.5,6,28,61.8,52,3.5,61.1,63.6,11.1,0,
125,Javonte Williams,25,DAL,RB,16,16,51,35,137,3.9,2,7,33.3,14,2.2,8.6,68.6,2.7,2,
126,Noah Fant,28,CIN,TE,15,7,41,34,288,8.5,3,13,63.4,25,2.3,19.2,82.9,7,3,
127,D'Andre Swift,26,CHI,RB,16,16,48,34,299,8.8,1,11,37.5,55,2.1,18.7,70.8,6.2,2,
128,Jake Tonges,26,SFO,TE,17,2,46,34,293,8.6,5,21,60.9,23,2,17.2,73.9,6.4,0,
129,Kayshon Boutte,23,NWE,WR,14,10,46,33,551,16.7,6,27,69.6,39,2.4,39.4,71.7,12,0,
130,Michael Carter,26,ARI,RB,13,5,45,33,267,8.1,0,12,57.8,18,2.5,20.5,73.3,5.9,0,
131,Jalen Coker,24,CAR,WR,11,3,43,33,394,11.9,3,22,67.4,34,3,35.8,76.7,9.2,1,
132,James Cook,26,BUF,RB,17,17,40,33,291,8.8,2,11,50,51,1.9,17.1,82.5,7.3,6,"PB,AP-2"
133,Chris Godwin,29,TAM,WR,9,6,51,33,360,10.9,2,21,51,59,3.7,40,64.7,7.1,0,
134,Andrei Iosivas,26,CIN,WR,17,9,58,33,435,13.2,2,24,44.8,37,1.9,25.6,56.9,7.5,0,
135,Alvin Kamara,30,NOR,RB,11,11,39,33,186,5.6,0,7,33.3,26,3,16.9,84.6,4.8,2,
136,David Njoku,29,CLE,TE,12,11,48,33,293,8.9,4,11,45.8,23,2.8,24.4,68.8,6.1,0,
137,Tony Pollard,28,TEN,RB,17,17,41,33,206,6.2,0,11,43.9,29,1.9,12.1,80.5,5,4,
138,Dylan Sampson,21,CLE,RB,15,2,40,33,271,8.2,2,8,55,66,2.2,18.1,82.5,6.8,1,
139,JuJu Smith-Schuster,29,KAN,WR,17,12,45,33,345,10.5,1,19,62.2,30,1.9,20.3,73.3,7.7,0,
140,John Metchie,25,2TM,WR,16,7,48,33,274,8.3,2,15,43.8,22,2.1,17.1,68.8,5.7,0,
141,John Metchie,25,PHI,WR,7,0,4,4,18,4.5,0,2,75,8,0.6,2.6,100,4.5,0,
142,John Metchie,25,NYJ,WR,9,7,44,29,256,8.8,2,13,40.9,22,3.2,28.4,65.9,5.8,0,
143,Adonai Mitchell,23,2TM,WR,16,5,74,33,453,13.7,2,15,36.5,75,2.1,28.3,44.6,6.1,1,
144,Adonai Mitchell,23,IND,WR,8,1,16,9,152,16.9,0,2,37.5,75,1.1,19,56.3,9.5,1,
145,Adonai Mitchell,23,NYJ,WR,8,4,58,24,301,12.5,2,13,36.2,52,3,37.6,41.4,5.2,0,
146,Omarion Hampton,22,LAC,RB,9,6,35,32,192,6,1,7,51.4,22,3.6,21.3,91.4,5.5,1,
147,Tucker Kraft,25,GNB,TE,8,8,44,32,489,15.3,6,22,63.6,59,4,61.1,72.7,11.1,0,
148,Darnell Mooney,28,ATL,WR,15,15,72,32,443,13.8,1,25,38.9,49,2.1,29.5,44.4,6.2,2,
149,Rhamondre Stevenson,27,NWE,RB,14,13,37,32,345,10.8,2,11,59.5,55,2.3,24.6,86.5,9.3,3,
150,Tyler Lockett,33,2TM,WR,17,2,55,32,291,9.1,1,14,40,33,1.9,17.1,58.2,5.3,0,
151,Tyler Lockett,33,TEN,WR,7,1,21,10,70,7,0,3,33.3,16,1.4,10,47.6,3.3,0,
152,Tyler Lockett,33,LVR,WR,10,1,34,22,221,10,1,11,44.1,33,2.2,22.1,64.7,6.5,0,
153,Calvin Austin III,26,PIT,WR,14,7,55,31,372,12,3,15,43.6,31,2.2,26.6,56.4,6.8,0,
154,Pat Bryant,23,DEN,WR,15,7,49,31,378,12.2,1,22,55.1,48,2.1,25.2,63.3,7.7,0,
155,DeMario Douglas,25,NWE,WR,17,0,46,31,447,14.4,3,17,56.5,58,1.8,26.3,67.4,9.7,0,
156,Kenneth Walker III,25,SEA,RB,17,17,36,31,282,9.1,0,12,44.4,46,1.8,16.6,86.1,7.8,1,
157,Darnell Washington,24,PIT,TE,16,13,43,31,364,11.7,1,16,60.5,36,1.9,22.8,72.1,8.5,2,
158,Mike Evans,32,TAM,WR,8,8,62,30,368,12.3,3,23,46.8,45,3.8,46,48.4,5.9,0,
159,Tre Harris,23,LAC,WR,17,10,43,30,324,10.8,1,18,60.5,37,1.8,19.1,69.8,7.5,0,
160,Elijah Higgins,25,ARI,TE,17,10,37,30,301,10,0,15,48.6,27,1.8,17.7,81.1,8.1,1,
161,Chuba Hubbard,26,CAR,RB,15,6,39,30,223,7.4,3,12,38.5,35,2,14.9,76.9,5.7,1,
162,Bucky Irving,23,TAM,RB,10,9,35,30,277,9.2,3,11,48.6,72,3,27.7,85.7,7.9,1,
163,Cole Kmet,26,CHI,TE,16,15,48,30,347,11.6,2,17,50,31,1.9,21.7,62.5,7.2,0,
164,Dontayvion Wicks,24,GNB,WR,14,7,46,30,332,11.1,2,21,65.2,30,2.1,23.7,65.2,7.2,0,
165,Greg Dortch,27,ARI,WR,12,3,33,29,206,7.1,3,10,42.4,39,2.4,17.2,87.9,6.2,1,
166,Matthew Golden,22,GNB,WR,14,5,44,29,361,12.4,0,16,47.7,46,2.1,25.8,65.9,8.2,0,
167,Van Jefferson,29,TEN,WR,16,7,52,29,350,12.1,1,17,50,43,1.8,21.9,55.8,6.7,0,
168,Jalen Nailor,26,MIN,WR,17,8,53,29,444,15.3,4,23,49.1,62,1.7,26.1,54.7,8.4,0,
169,Ja'Tavion Sanders,22,CAR,TE,13,5,34,29,190,6.6,1,8,55.9,18,2.2,14.6,85.3,5.6,0,
170,Mike Gesicki,30,CIN,TE,13,2,42,28,307,11,2,19,61.9,37,2.2,23.6,66.7,7.3,0,
171,Travis Hunter,22,JAX,WR,7,4,45,28,298,10.6,1,12,40,44,4,42.6,62.2,6.6,1,
172,Tez Johnson,23,TAM,WR,16,8,44,28,322,11.5,5,16,50,45,1.8,20.1,63.6,7.3,0,
173,Aaron Jones,31,MIN,RB,12,12,41,28,199,7.1,1,9,41.5,27,2.3,16.6,68.3,4.9,2,
174,Christian Kirk,29,HOU,WR,13,3,52,28,239,8.5,1,12,32.7,47,2.2,18.4,53.8,4.6,0,
175,Isaiah Likely,25,BAL,TE,14,7,36,27,307,11.4,1,11,55.6,43,1.9,21.9,75,8.5,2,
176,Tommy Tremble,25,CAR,TE,17,16,37,27,249,9.2,2,10,56.8,54,1.6,14.6,73,6.7,0,
177,Greg Dulcich,25,MIA,TE,10,3,33,26,335,12.9,1,14,66.7,29,2.6,33.5,78.8,10.2,1,
178,Jerome Ford,26,CLE,RB,13,0,32,26,103,4,0,4,34.4,17,2,7.9,81.3,3.2,0,
179,Quinshon Judkins,22,CLE,RB,14,14,36,26,171,6.6,0,7,33.3,58,1.9,12.2,72.2,4.8,0,
180,Jaylin Noel,23,HOU,WR,17,3,35,26,292,11.2,2,13,48.6,44,1.5,17.2,74.3,8.3,0,
181,KaVontae Turpin,29,DAL,WR,15,2,38,26,396,15.2,2,16,52.6,86,1.7,26.4,68.4,10.4,1,"PB,AP-2"
182,Isaiah Williams,24,NYJ,WR,15,2,36,26,193,7.4,0,10,47.2,25,1.7,12.9,72.2,5.4,1,
183,Tyler Higbee,32,LAR,TE,10,8,36,25,281,11.2,3,17,58.3,24,2.5,28.1,69.4,7.8,0,
184,Jeremy McNichols,30,WAS,RB,17,1,31,25,196,7.8,0,10,45.2,24,1.5,11.5,80.6,6.3,1,
185,Brashard Smith,22,KAN,RB,17,1,35,25,172,6.9,1,7,57.1,17,1.5,10.1,71.4,4.9,1,
186,Devaughn Vele,28,NOR,WR,13,7,39,25,293,11.7,2,19,59,17,1.9,22.5,64.1,7.5,0,
187,Davis Allen,24,LAR,TE,17,5,33,24,208,8.7,3,12,60.6,27,1.4,12.2,72.7,6.3,0,
188,Ty Johnson,28,BUF,RB,17,0,33,24,263,11,2,11,45.5,52,1.4,15.5,72.7,8,1,
189,Kyle Juszczyk,34,SFO,FB,17,17,28,24,213,8.9,2,10,78.6,25,1.4,12.5,85.7,7.6,0,"PB,AP-1"
190,Woody Marks,25,HOU,RB,16,8,36,24,208,8.7,3,7,38.9,50,1.5,13,66.7,5.8,1,
191,David Montgomery,28,DET,RB,17,0,29,24,192,8,0,11,55.2,23,1.4,11.3,82.8,6.6,2,
192,Luke Musgrave,25,GNB,TE,17,10,31,24,252,10.5,0,11,58.1,26,1.4,14.8,77.4,8.1,1,
193,Kalif Raymond,31,DET,WR,15,3,30,24,289,12,1,14,63.3,30,1.6,19.3,80,9.6,0,
194,Cam Skattebo,23,NYG,RB,8,5,32,24,207,8.6,2,11,56.3,21,3,25.9,75,6.5,1,
195,Darren Waller,33,MIA,TE,9,3,34,24,283,11.8,6,19,64.7,34,2.7,31.4,70.6,8.3,0,
196,Brandin Cooks,32,2TM,WR,15,5,36,24,279,11.6,0,14,61.1,50,1.6,18.6,66.7,7.8,0,
197,Brandin Cooks,32,NOR,WR,10,3,25,19,165,8.7,0,10,68,21,1.9,16.5,76,6.6,0,
198,Brandin Cooks,32,BUF,WR,5,2,11,5,114,22.8,0,4,45.5,50,1,22.8,45.5,10.4,0,
199,Jeremy Ruckert,25,NYJ,TE,17,15,29,23,179,7.8,1,8,48.3,24,1.4,10.5,79.3,6.2,0,
200,DeAndre Hopkins,33,BAL,WR,17,3,39,22,330,15,2,15,51.3,41,1.3,19.4,56.4,8.5,0,
201,Zonovan Knight,24,ARI,RB,12,8,31,22,160,7.3,1,10,48.4,20,1.8,13.3,71,5.2,1,
202,Josh Palmer,26,BUF,WR,12,8,37,22,303,13.8,0,14,45.9,45,1.8,25.3,59.5,8.2,0,
203,Demarcus Robinson,31,SFO,WR,14,2,35,22,276,12.5,1,15,51.4,31,1.6,19.7,62.9,7.9,0,
204,Isaiah Davis,23,NYJ,RB,16,0,28,21,186,8.9,0,8,46.4,26,1.3,11.6,75,6.6,0,
205,Noah Gray,26,KAN,TE,16,6,37,21,178,8.5,0,9,32.4,28,1.3,11.1,56.8,4.8,0,
206,Justice Hill,28,BAL,RB,10,0,27,21,169,8,1,6,37,37,2.1,16.9,77.8,6.3,1,
207,Tyreek Hill,31,MIA,WR,4,4,29,21,265,12.6,1,17,69,47,5.3,66.3,72.4,9.1,0,
208,Austin Hooper,31,NWE,TE,16,6,26,21,263,12.5,2,13,76.9,31,1.3,16.4,80.8,10.1,0,
209,Cedric Tillman,25,CLE,WR,13,10,39,21,270,12.9,2,13,43.6,42,1.6,20.8,53.8,6.9,0,
210,Jack Bech,23,LVR,WR,16,5,29,20,224,11.2,0,11,58.6,37,1.3,14,69,7.7,0,
